combination,r2,q2,mae,rmsd,threshold,model
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'B5_11-6')",0.41717848489319054,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'L_11-6')",0.304029174095501,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'bond_length_12-14')",0.5987149686571288,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'cone_angle')",0.48201970375756276,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'bite_angle')",0.6036043261709798,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'bite_angle_inverted')",0.5428632510234548,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'buried_volume')",0.6093443626436796,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'HOMO-LUMO Gap (eV)')",0.4876312929261467,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'dipole_x_base_symmetry')",0.36932639408831147,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'dipole_y_base_symmetry')",0.30562387865476914,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_5', 'dipole_z_base_symmetry')",0.392871446512427,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_12', 'B1_11-6')",0.327464257240502,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_12', 'B5_11-6')",0.4226415103842147,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_12', 'L_11-6')",0.3079042158665789,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_12', 'bond_length_12-14')",0.5149150421703613,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_12', 'cone_angle')",0.3985582684494685,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_12', 'bite_angle')",0.6257140102414818,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_12', 'bite_angle_inverted')",0.4530047222551813,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_12', 'buried_volume')",0.5560253795748518,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_12', 'HOMO-LUMO Gap (eV)')",0.4973641313907905,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_12', 'dipole_x_base_symmetry')",0.37410150111297713,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_12', 'dipole_y_base_symmetry')",0.30900232126327964,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cm5_atom_12', 'dipole_z_base_symmetry')",0.3941083973500814,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B1_11-6', 'B5_11-6')",0.42245275449333175,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B1_11-6', 'L_11-6')",0.31123642254190165,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B1_11-6', 'bond_length_12-14')",0.5295030354346537,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B1_11-6', 'cone_angle')",0.464381725258611,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B1_11-6', 'bite_angle')",0.5978358589908537,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B1_11-6', 'bite_angle_inverted')",0.4887630542767242,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B1_11-6', 'buried_volume')",0.5907133380708429,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B1_11-6', 'HOMO-LUMO Gap (eV)')",0.5025014965853438,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B1_11-6', 'dipole_x_base_symmetry')",0.37475198987823355,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B1_11-6', 'dipole_y_base_symmetry')",0.31188912959383175,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B1_11-6', 'dipole_z_base_symmetry')",0.406034689479572,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B5_11-6', 'L_11-6')",0.41278261140215033,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B5_11-6', 'bond_length_12-14')",0.5430936773606856,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B5_11-6', 'cone_angle')",0.4741423387718474,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B5_11-6', 'bite_angle')",0.6021731471904297,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B5_11-6', 'bite_angle_inverted')",0.4941757218396121,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B5_11-6', 'buried_volume')",0.596337024283374,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B5_11-6', 'HOMO-LUMO Gap (eV)')",0.5721025248598418,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B5_11-6', 'dipole_x_base_symmetry')",0.47091297475148397,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B5_11-6', 'dipole_y_base_symmetry')",0.4600790214703272,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'B5_11-6', 'dipole_z_base_symmetry')",0.5108182436747468,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'L_11-6', 'bond_length_12-14')",0.5157091692376186,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'L_11-6', 'cone_angle')",0.4190915196290149,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'L_11-6', 'bite_angle')",0.5980791829955383,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'L_11-6', 'bite_angle_inverted')",0.4436773937010553,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'L_11-6', 'buried_volume')",0.6205501873127572,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'L_11-6', 'HOMO-LUMO Gap (eV)')",0.4864388913271639,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'L_11-6', 'dipole_x_base_symmetry')",0.3995777046160619,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'L_11-6', 'dipole_y_base_symmetry')",0.29702723308448264,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'L_11-6', 'dipole_z_base_symmetry')",0.43399195764695286,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bond_length_12-14', 'cone_angle')",0.5207046737476615,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bond_length_12-14', 'bite_angle')",0.6166879684106732,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bond_length_12-14', 'bite_angle_inverted')",0.5180085311203375,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bond_length_12-14', 'buried_volume')",0.5758712177769089,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bond_length_12-14', 'HOMO-LUMO Gap (eV)')",0.6779218506245416,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bond_length_12-14', 'dipole_x_base_symmetry')",0.5367179137879312,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bond_length_12-14', 'dipole_y_base_symmetry')",0.517721412882092,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bond_length_12-14', 'dipole_z_base_symmetry')",0.5426582843463686,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cone_angle', 'bite_angle')",0.6370187250029872,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cone_angle', 'bite_angle_inverted')",0.4432342742595413,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cone_angle', 'buried_volume')",0.5581940019230982,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cone_angle', 'HOMO-LUMO Gap (eV)')",0.535533130696262,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cone_angle', 'dipole_x_base_symmetry')",0.47685619021717596,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cone_angle', 'dipole_y_base_symmetry')",0.4087768835309332,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'cone_angle', 'dipole_z_base_symmetry')",0.42873399824909064,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bite_angle', 'bite_angle_inverted')",0.625244851176645,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bite_angle', 'buried_volume')",0.638627627533938,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bite_angle', 'HOMO-LUMO Gap (eV)')",0.7532956543194137,0.5060033766293575,0.43691334352496697,0.558169780411737,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bite_angle', 'dipole_x_base_symmetry')",0.5989406125770533,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bite_angle', 'dipole_y_base_symmetry')",0.5979383462351984,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bite_angle', 'dipole_z_base_symmetry')",0.6265482182218344,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bite_angle_inverted', 'buried_volume')",0.5574831975765445,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bite_angle_inverted', 'HOMO-LUMO Gap (eV)')",0.5916565150716937,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bite_angle_inverted', 'dipole_x_base_symmetry')",0.4968177121525974,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bite_angle_inverted', 'dipole_y_base_symmetry')",0.44586992267715764,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'bite_angle_inverted', 'dipole_z_base_symmetry')",0.4748548176733828,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'buried_volume', 'HOMO-LUMO Gap (eV)')",0.6674354634282437,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'buried_volume', 'dipole_x_base_symmetry')",0.6285531280263407,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'buried_volume', 'dipole_y_base_symmetry')",0.5944963205884387,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'buried_volume', 'dipole_z_base_symmetry')",0.5573411014829635,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'HOMO-LUMO Gap (eV)', 'dipole_x_base_symmetry')",0.6243951696089756,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'HOMO-LUMO Gap (eV)', 'dipole_y_base_symmetry')",0.48002915804055735,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'HOMO-LUMO Gap (eV)', 'dipole_z_base_symmetry')",0.5186417432211363,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'dipole_x_base_symmetry', 'dipole_y_base_symmetry')",0.3906264490968169,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'dipole_x_base_symmetry', 'dipole_z_base_symmetry')",0.47792407160643524,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'B5_20-9', 'dipole_y_base_symmetry', 'dipole_z_base_symmetry')",0.37928903444426565,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'B1_B5_angle_20-9')",0.12131362690843683,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'B1_25-1')",0.2766551425776508,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'Frequency_Stretch_5_4')",0.2963796847849465,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'Amplitude_Stretch_5_4')",0.26634020486778065,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'cross')",0.15907722021824844,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'cross_angle')",0.3203322694010151,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'para')",0.11455793895146449,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'para_angle')",0.2512367764706549,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'Frequency_Bending_22-23')",0.1217608538662821,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'Cross_mag_Bending_22-23')",0.2349008816807563,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'total_dipole_5-1-25')",0.12213441371765321,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'dipole_x_10-11-12')",0.15007489374191219,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'dipole_y_10-11-12')",0.10456852686095763,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'dipole_z_10-11-12')",0.24864046928281058,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'total_dipole_10-11-12')",0.12213441371765321,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'hirshfeld_atom_12')",0.5229317575597294,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'cm5_atom_5')",0.1406795849167778,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'cm5_atom_12')",0.1646685970152868,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'B1_11-6')",0.10649908152021292,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'B5_11-6')",0.22386750476942585,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'L_11-6')",0.2221178228252898,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'bond_length_12-14')",0.3893628034849276,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'cone_angle')",0.16269614230595297,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'bite_angle')",0.599184052927219,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'bite_angle_inverted')",0.22202235709346718,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'buried_volume')",0.5050192712370438,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'HOMO-LUMO Gap (eV)')",0.370826733191423,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'dipole_x_base_symmetry')",0.432435773320864,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'dipole_y_base_symmetry')",0.10482005996284782,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'loc_B5_20-9', 'dipole_z_base_symmetry')",0.14124068963398217,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'B1_B5_angle_20-9', 'B1_25-1')",0.2645948447973795,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'B1_B5_angle_20-9', 'Frequency_Stretch_5_4')",0.23740834659227283,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
"('B1_20-9', 'L_20-9', 'B1_B5_angle_20-9', 'Amplitude_Stretch_5_4')",0.22248335358995308,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF5583BEE0>
