combination,r2,q2,mae,rmsd,threshold,model,predictions
"('cross_6_0', 'para_6_0', 'nbo_atom_14')",0.4821214922011279,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.0142312  0.76498319 0.83279313 0.41207234 0.86065848 0.94223799
 0.75509298 0.56997409 0.80960413 0.75050805 0.56393569 0.66876999
 0.51173738 0.47954062 1.03775026 0.57237563 0.6080292  1.68038626]"
"('cross_6_0', 'para_6_0', 'nbo_atom_11')",0.2077569135839622,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.95771178 0.58051872 0.76598451 0.70972839 0.84142649 0.68381437
 0.59496553 0.5647177  1.11379749 0.82976545 0.56103671 0.91445964
 0.79626917 0.68855417 0.94592197 0.55782288 0.56935908 1.15882657]"
"('cross_6_0', 'para_6_0', 'nbo_atom_27')",0.2137028506543207,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.99434184 0.58967631 0.86686505 0.5716948  0.74950819 0.66835483
 0.5694993  0.54123627 0.9867628  0.75622508 0.53236078 1.08270156
 0.67526531 0.74857567 1.00292424 0.67529411 0.69977069 1.12362378]"
"('cross_6_0', 'para_6_0', 'nbo_atom_6')",0.42083557139483785,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.00456096 0.65857278 0.76473807 0.62991852 0.8039458  0.80833571
 0.77590639 0.62548476 1.1469534  0.80777768 0.60761211 0.47737967
 0.59088678 0.44432238 1.02975911 0.54746337 0.56881166 1.54225146]"
"('cross_6_0', 'para_6_0', 'nbo_atom_26')",0.4339001280416618,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.97390315 0.74487558 0.71676932 0.81061878 1.01975857 0.83294209
 0.62372259 0.59190905 1.04446852 0.82864536 0.65309912 0.68649064
 0.78686576 0.17150304 0.94801909 0.47106487 0.47713867 1.45288641]"
"('cross_6_0', 'para_6_0', 'L_11-26')",0.2292085911956262,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.97866903 0.6731205  0.83445327 0.67444911 0.88884621 0.73254687
 0.51552552 0.52552439 1.0935269  0.77109561 0.53477447 1.07612125
 0.73943604 0.49482785 0.99575619 0.62958377 0.65295108 1.02347256]"
"('cross_6_0', 'para_6_0', 'B1_11-27')",0.19683287808190153,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.98913992 0.55408161 0.81790983 0.69445113 0.81960744 0.64308665
 0.6013535  0.56007624 1.06241551 0.77167751 0.55462117 1.01786307
 0.74525428 0.71460701 0.95474266 0.60386448 0.62209706 1.10783154]"
"('cross_6_0', 'para_6_0', 'B5_11-27')",0.2164368576150183,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.95569958 0.50986616 0.78074939 0.58656845 0.77189043 0.62377567
 0.62273599 0.5785546  1.03671372 0.89806006 0.64537251 0.98409661
 0.85192094 0.70847593 0.96312483 0.56367248 0.58566776 1.16773551]"
"('cross_6_0', 'para_6_0', 'L_11-27')",0.20024046139086293,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.96158731 0.53788512 0.80739165 0.63986344 0.77624056 0.65530651
 0.59825293 0.56631478 1.05364044 0.7801533  0.56511405 1.00080975
 0.71677745 0.73698419 1.01336788 0.61117596 0.67898547 1.13482983]"
"('cross_6_0', 'para_6_0', 'loc_B5_11-27')",0.21193047545220622,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.0131764  0.60144038 0.79870428 0.78309188 0.91147716 0.59421956
 0.61965323 0.55207643 1.07031993 0.77107804 0.55889093 0.99675494
 0.7872445  0.6577311  0.88455989 0.5430368  0.57275107 1.1184741 ]"
"('cross_6_0', 'para_6_0', 'B1_B5_angle_11-27')",0.2001506765874056,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.97771038 0.60670742 0.82558186 0.64183394 0.77855231 0.63179257
 0.57755318 0.54660233 1.05700428 0.79248968 0.54621602 1.03031027
 0.70869827 0.73508418 0.9981439  0.62817423 0.64964731 1.10257847]"
"('cross_6_0', 'para_6_0', '0_dihedral_[28, 27, 29, 11]')",0.19676911916083295,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.97125337 0.56231001 0.8036189  0.69894622 0.81627428 0.65476986
 0.60171487 0.56095001 1.05503645 0.78824961 0.55144801 1.01855212
 0.75390938 0.70215945 0.97025868 0.5939644  0.61497402 1.11629098]"
"('cross_6_0', 'para_6_0', '0_bond_length_11-26')",0.23183389417951572,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.98008846 0.67709485 0.83545866 0.66977392 0.89439156 0.73705003
 0.51625558 0.52241318 1.09283271 0.77133539 0.53375953 1.07842514
 0.74024199 0.48513466 0.99418425 0.63082982 0.65361179 1.02179909]"
"('cross_6_0', 'para_6_0', 'aniso')",0.2762250309373244,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.92711372 0.48791193 0.75250947 0.45023376 0.60244905 0.66210071
 0.6055123  0.55543033 0.94109521 1.01449747 0.63159578 1.00784682
 0.7327088  0.70794514 1.05352076 0.6977904  0.73506561 1.26935336]"
"('cross_6_0', 'para_6_0', 'iso')",0.4218944198831408,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.12208971 0.74171376 0.7410367  0.52167376 0.70014831 0.90304196
 0.80452526 0.7359429  0.86189828 0.72929618 0.68963195 0.79364686
 0.67138546 0.50777172 1.12301735 0.33199867 0.38610951 1.46975226]"
"('cross_6_0', 'cross_14_0', 'para_14_0')",0.4607448725535208,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.40232982 0.65179059 1.02248281 0.55937081 0.66473741 0.81159796
 0.70553436 0.57642295 1.25029356 0.7022898  0.60707138 0.86730766
 0.39928998 0.26661739 0.88452398 0.56753215 0.84361087 1.05187713]"
"('cross_6_0', 'cross_14_0', 'Frequency_Stretch_12_13')",0.4504554052765395,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.01433637 0.52739671 0.82722052 0.75295191 0.56057126 0.86440328
 0.89817926 0.97404686 0.98263376 0.80589746 0.90451824 0.71795997
 0.38345061 0.23370898 0.81510978 0.4212798  0.68880098 1.46221485]"
"('cross_6_0', 'cross_14_0', 'Amplitude_Stretch_12_13')",0.4035488527708283,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.99164745 0.88823649 1.03578691 0.8150321  0.81452293 0.5866595
 0.5246898  0.33926661 1.12467786 0.84924342 0.84196958 0.97100528
 0.49299315 0.26131155 0.83910339 0.41799359 0.91475566 1.12578535]"
"('cross_6_0', 'cross_14_0', 'Frequency_Stretch_24_25')",0.27727684440674294,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.79212576 0.77828348 0.91206463 0.71713709 0.74886334 0.79902513
 0.82205429 0.81597477 1.08239077 0.81905502 0.83246212 0.99230643
 0.44729188 0.20049548 0.81564985 0.43810268 0.72946328 1.09193462]"
"('cross_6_0', 'cross_14_0', 'Amplitude_Stretch_24_25')",0.36269841654844515,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.92620989 0.88414215 1.04460479 0.78442283 0.81846432 0.60064822
 0.5360598  0.43569747 1.11896786 0.84975543 0.82581537 1.01626194
 0.51163568 0.22019918 0.80957852 0.46268846 0.90589174 1.08363696]"
"('cross_6_0', 'cross_14_0', 'dipole_x_6-11-4')",0.26992234106089963,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.82458856 0.78112114 0.94366627 0.72945502 0.77326648 0.7807864
 0.77949943 0.77440359 1.06597923 0.78373596 0.77798061 1.05628226
 0.42030832 0.21791105 0.82130925 0.46470678 0.7890866  1.05059367]"
"('cross_6_0', 'cross_14_0', 'dipole_y_6-11-4')",0.3009448666038552,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.73628167 0.74856447 0.97266967 0.70618206 0.75612087 0.80968974
 0.74871566 0.73731779 1.0057263  0.82814269 0.75572741 1.06488984
 0.4371422  0.1082468  0.75310288 0.67552271 0.84679939 1.14383846]"
"('cross_6_0', 'cross_14_0', 'dipole_z_6-11-4')",0.284285415444271,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.86442657 0.7622472  0.97482003 0.66657693 0.73249825 0.81379244
 0.81178504 0.81670237 1.02137031 0.85115113 0.82098987 1.09477581
 0.4558473  0.20043753 0.7773527  0.46746293 0.65716089 1.04528332]"
"('cross_6_0', 'cross_14_0', 'total_dipole_6-11-4')",0.35925673074762754,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.73361028 0.88168989 0.71506678 0.75004721 0.86685417 0.90198642
 0.86670689 0.85370574 0.90671614 0.79936123 0.86344854 0.94278995
 0.42187213 0.11472668 0.817695   0.48563092 0.6011873  1.31158535]"
"('cross_6_0', 'cross_14_0', 'nbo_atom_14')",0.4196238938701745,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.78297509 0.9333847  0.86707278 0.49620564 0.79444804 0.98834156
 0.89219743 0.79353446 0.88115824 0.72003639 0.78806462 0.79449177
 0.32654526 0.22140437 0.80153487 0.5292574  0.74240401 1.481624  ]"
"('cross_6_0', 'cross_14_0', 'nbo_atom_11')",0.2737085760091442,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.80388319 0.80022271 0.91726988 0.74093237 0.78943964 0.80333303
 0.7824623  0.78460217 1.09815068 0.80997905 0.78903154 0.99763193
 0.44531549 0.20231136 0.79491915 0.44062139 0.75886367 1.07571105]"
"('cross_6_0', 'cross_14_0', 'nbo_atom_27')",0.3127249717199537,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.90937391 0.79078334 1.04591603 0.55483691 0.69919344 0.79334145
 0.70703086 0.70325671 0.95679567 0.76784766 0.70447576 1.14014032
 0.33819375 0.28140324 0.91955848 0.55727369 0.88450514 1.08075424]"
"('cross_6_0', 'cross_14_0', 'nbo_atom_6')",0.3755835289350482,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.79042168 0.84423761 0.82982641 0.66831747 0.75509179 0.88014549
 0.89946359 0.82709947 1.13631438 0.7703443  0.81426143 0.66301508
 0.38501319 0.18276013 0.8089855  0.49968003 0.71601185 1.36369121]"
"('cross_6_0', 'cross_14_0', 'nbo_atom_26')",0.3395224634781223,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.73957039 0.89481586 0.78703129 0.7827608  0.88000862 0.87741638
 0.79235638 0.8136624  1.06468676 0.767743   0.84854551 0.86328941
 0.52979504 0.07413683 0.72438564 0.47754161 0.66713291 1.24980177]"
"('cross_6_0', 'cross_14_0', 'L_11-26')",0.27001731229195736,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.82352282 0.77585151 0.94714917 0.73217961 0.76824586 0.77698993
 0.78707604 0.77867166 1.06238752 0.78496796 0.78145536 1.05176652
 0.41483038 0.22413141 0.81951127 0.46009102 0.78781888 1.05803368]"
"('cross_6_0', 'cross_14_0', 'B1_11-27')",0.28186596357788585,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.80535512 0.76933017 0.92248731 0.71244378 0.73403242 0.79746507
 0.74041023 0.73586737 1.03258709 0.83157241 0.73894338 1.05159375
 0.43468752 0.22123772 0.97082995 0.45680024 0.78411167 1.09492543]"
"('cross_6_0', 'cross_14_0', 'B5_11-27')",0.29843401462473107,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.78732642 0.73964605 0.91801518 0.60776653 0.72564303 0.75984253
 0.82195576 0.81315476 1.04162517 0.92711069 0.90463302 1.01649836
 0.52592781 0.17886781 0.79417748 0.40720562 0.75283252 1.11245187]"
"('cross_6_0', 'cross_14_0', 'L_11-27')",0.29282713251720704,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.83146713 0.70898735 0.95244129 0.61216352 0.70596826 0.7853156
 0.75964421 0.76047035 1.0547566  0.80064613 0.77678005 1.00586052
 0.36550212 0.27494859 0.9516753  0.46920431 0.90770553 1.11114375]"
"('cross_6_0', 'cross_14_0', 'loc_B5_11-27')",0.2807856165644206,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.85407135 0.72187504 0.97679845 0.67194273 0.71947488 0.80579673
 0.7418045  0.74209212 1.05169656 0.8069539  0.73981145 1.06075482
 0.40057502 0.24583542 0.9355042  0.48601803 0.8119727  1.06170271]"
"('cross_6_0', 'cross_14_0', 'B1_B5_angle_11-27')",0.2920763599095555,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.87219754 0.86611656 0.99368564 0.61842021 0.71334807 0.72890479
 0.7092195  0.71139972 1.0624956  0.82946823 0.72935438 1.07432589
 0.35171747 0.27487955 0.91767048 0.50943991 0.83551054 1.03652652]"
"('cross_6_0', 'cross_14_0', '0_dihedral_[28, 27, 29, 11]')",0.2892537810953253,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.90341811 0.72875749 1.0292549  0.66736491 0.72749258 0.73028739
 0.74001645 0.74024775 1.0748144  0.72015692 0.77598494 1.05079064
 0.33738343 0.27835375 0.90251374 0.52583413 0.86016774 1.04184137]"
"('cross_6_0', 'cross_14_0', '0_bond_length_11-26')",0.2699190382597494,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.82354075 0.78065708 0.94550895 0.73051795 0.77286145 0.78045187
 0.78046228 0.7750866  1.06464216 0.78364091 0.77849786 1.05501823
 0.4189779  0.21904538 0.82067846 0.46453957 0.78750399 1.05304922]"
"('cross_6_0', 'cross_14_0', 'aniso')",0.409001838827345,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.89931622 0.6157159  0.92149022 0.4477304  0.55987122 0.76256906
 0.72395024 0.67220778 0.91697197 1.10741473 0.77928359 1.01908807
 0.44533969 0.2190156  1.04644625 0.53983786 0.88903221 1.26939962]"
"('cross_6_0', 'cross_14_0', 'iso')",0.28068754663345796,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[0.78751174 0.84206765 0.89869711 0.69505639 0.73856206 0.8345952
 0.83779069 0.84311499 1.03534754 0.7518074  0.83585153 1.02577792
 0.4081132  0.21370017 0.78627692 0.44712345 0.75077466 1.102512  ]"
"('cross_6_0', 'para_14_0', 'Frequency_Stretch_12_13')",0.5413434162958035,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.48107315 0.39938869 0.81056443 0.57499686 0.46718146 0.85561682
 0.79470261 0.76399195 1.16161059 0.694271   0.71629889 0.57724248
 0.47734236 0.48665459 0.83315442 0.60854088 0.70154519 1.43050424]"
"('cross_6_0', 'para_14_0', 'Amplitude_Stretch_12_13')",0.4018801050136762,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.42768609 0.62595483 0.89003354 0.53970953 0.65073876 0.69159789
 0.56195562 0.38168371 1.29254489 0.65566215 0.57662966 0.82910518
 0.61776469 0.65822353 0.82440701 0.71920423 0.81137152 1.08040779]"
"('cross_6_0', 'para_14_0', 'Frequency_Stretch_24_25')",0.41422848098585874,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.43418246 0.55493395 0.81281034 0.44670694 0.56351445 0.80513814
 0.72255209 0.57650013 1.34681496 0.68738535 0.62624607 0.69124337
 0.63761031 0.6077675  0.82346897 0.70008198 0.66448423 1.13323937]"
"('cross_6_0', 'para_14_0', 'Amplitude_Stretch_24_25')",0.3976204117779879,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.42416619 0.6232461  0.90207494 0.52555473 0.64999143 0.69866588
 0.56463311 0.40987084 1.29574601 0.65617387 0.5677091  0.83947302
 0.61703747 0.63120249 0.81830859 0.73206272 0.81332658 1.06543755]"
"('cross_6_0', 'para_14_0', 'dipole_x_6-11-4')",0.46439763109474164,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.38743065 0.62865361 1.15271327 0.59843881 0.66008958 0.81532355
 0.69392908 0.55381547 1.18187206 0.64564615 0.57842338 0.75170553
 0.36815428 0.41684945 0.8293207  0.6670678  0.67382391 1.23142334]"
"('cross_6_0', 'para_14_0', 'dipole_y_6-11-4')",0.48034474104957825,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.31860197 0.54639732 0.98953551 0.47008329 0.60625668 0.83568911
 0.61641553 0.46710877 1.18937376 0.72712575 0.51876764 0.85308996
 0.52862592 0.29411769 0.74623606 1.01705799 0.90702464 1.20317304]"
"('cross_6_0', 'para_14_0', 'dipole_z_6-11-4')",0.4696221382759772,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.48949227 0.59928187 1.03927492 0.43180974 0.58349891 0.85773328
 0.74542503 0.63091001 1.18852182 0.79881429 0.66108376 0.92465321
 0.50384815 0.32268091 0.79792824 0.61387551 0.6056652  1.0401835 ]"
"('cross_6_0', 'para_14_0', 'total_dipole_6-11-4')",0.6951059550435219,0.30019396359846806,0.2801299271194333,0.3409215103264627,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[ 1.48391043  0.77631842  0.77756966  0.54784494  0.77304638  1.01615459
  0.82566681  0.63757811  1.07743965  0.72348714  0.69151578  0.64290741
  0.32400843 -0.0070151   0.92674503  0.56954902  0.62253506  1.42541886]"
"('cross_6_0', 'para_14_0', 'nbo_atom_14')",0.5899750890468729,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.3639682  0.78943482 0.87447353 0.27674701 0.67283549 1.02060187
 0.8059133  0.57478431 1.06293806 0.60229388 0.59128386 0.57091716
 0.37199026 0.41943423 0.83934136 0.70769038 0.76556197 1.52447093]"
"('cross_6_0', 'para_14_0', 'nbo_atom_11')",0.4085782781424143,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.42012888 0.62093707 0.82154783 0.51345358 0.66093237 0.82747458
 0.65369382 0.53301245 1.38184756 0.69277615 0.55883015 0.68581914
 0.62853323 0.56533065 0.77266701 0.67196105 0.71424571 1.11148941]"
"('cross_6_0', 'para_14_0', 'nbo_atom_27')",0.38624564917582715,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.43174131 0.58139779 0.88318784 0.50109565 0.62955841 0.76967163
 0.65257475 0.52168284 1.29098929 0.6321898  0.54356503 0.83815569
 0.56867566 0.60246161 0.83032734 0.72503774 0.77903027 1.05333797]"
"('cross_6_0', 'para_14_0', 'nbo_atom_6')",0.5163721494088613,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.34127342 0.68865067 0.81928161 0.47268555 0.63317837 0.89029533
 0.80656037 0.61517056 1.33252497 0.65548102 0.62171657 0.45446434
 0.45773414 0.41302356 0.838401   0.68476248 0.72968845 1.37978823]"
"('cross_6_0', 'para_14_0', 'nbo_atom_26')",0.6235918773497628,-0.04931661188008407,0.31426172246362966,0.41746381322035914,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.42759632 0.79740134 0.78107192 0.59466899 0.80609732 0.97511081
 0.70336471 0.58258317 1.30289225 0.65129288 0.67134888 0.50195385
 0.57980678 0.05981414 0.74338441 0.62277611 0.66112315 1.37239359]"
"('cross_6_0', 'para_14_0', 'L_11-26')",0.398742214468917,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.41449367 0.65100535 0.89729592 0.49696626 0.68759101 0.81540474
 0.59512718 0.49892794 1.2996774  0.63545717 0.52892339 0.88464062
 0.57354425 0.47293793 0.85507216 0.73604935 0.7906672  1.00089907]"
"('cross_6_0', 'para_14_0', 'B1_11-27')",0.3951864873180295,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.40241173 0.576812   0.86824848 0.48806979 0.59768778 0.78488146
 0.62064066 0.49335891 1.25471545 0.67781366 0.51443067 0.8423073
 0.57500247 0.59406626 0.9624945  0.71210004 0.77893741 1.09070205]"
"('cross_6_0', 'para_14_0', 'B5_11-27')",0.44212216008870375,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.44995522 0.50105652 0.84202327 0.29757384 0.54404451 0.73937964
 0.69765725 0.54734976 1.27988668 0.82052179 0.69666781 0.76086705
 0.73228013 0.58546896 0.79672664 0.67146327 0.73215915 1.13959913]"
"('cross_6_0', 'para_14_0', 'L_11-27')",0.3875952326908091,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.44760862 0.59769982 0.88753584 0.52395647 0.64290634 0.77021075
 0.65478159 0.51888989 1.29599771 0.62597476 0.5382663  0.84798549
 0.57820374 0.58609466 0.80087501 0.72685397 0.75223009 1.03860956]"
"('cross_6_0', 'para_14_0', 'loc_B5_11-27')",0.4190554977939902,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.50125993 0.67784355 0.85948331 0.58086306 0.71385963 0.73370477
 0.71548395 0.54622862 1.35151737 0.5767647  0.58673227 0.79048901
 0.57710942 0.51623878 0.62926427 0.68821529 0.75422997 1.03539272]"
"('cross_6_0', 'para_14_0', 'B1_B5_angle_11-27')",0.3899275116005838,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.44536294 0.53737261 0.8709481  0.53836102 0.64910894 0.79581642
 0.6791469  0.53778449 1.29984607 0.6078361  0.55491809 0.82103644
 0.59279954 0.57497045 0.79393927 0.71023165 0.76419335 1.06100824]"
"('cross_6_0', 'para_14_0', '0_dihedral_[28, 27, 29, 11]')",0.4459295394472984,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.49325983 0.65962775 0.77983314 0.57783673 0.69098354 0.90129679
 0.71996816 0.52769883 1.33252738 0.75249629 0.49526336 0.78069694
 0.6830976  0.39937049 0.70148878 0.59475374 0.66903613 1.07544513]"
"('cross_6_0', 'para_14_0', '0_bond_length_11-26')",0.4000188771881832,-inf,inf,inf,0.6,<modeling.LinearRegressionModel object at 0x0000029344C73CA0>,"[1.41399003 0.6541114  0.89789253 0.49457477 0.69230242 0.81835517
 0.5947777  0.49675031 1.29866895 0.63611986 0.52808516 0.88707278
 0.57467841 0.46571904 0.85486972 0.73653262 0.7906991  0.99948064]"
